=== RESULTS ===

Algorithm:	Apriori
Count:		444

Finished in 2.13 seconds['<40h', '<=50K', 0.583348688655488, 0.8265883376849434]
['<=50K', '<40h', 0.583348688655488, 0.768406148867314]
['<40h', 'United-States', 0.6269270929304097, 0.888337684943429]
['<40h', 'White', 0.5852220379583564, 0.829242819843342]
['<40h', 'cl_0', 0.6780603157054235, 0.9607919930374238]
['cl_0', '<40h', 0.6780603157054235, 0.7112621609432382]
['<=50K', 'United-States', 0.6756034641606781, 0.8899271844660194]
['United-States', '<=50K', 0.6756034641606781, 0.7541652382584847]
['<=50K', 'White', 0.6356796265585652, 0.8373381877022654]
['White', '<=50K', 0.6356796265585652, 0.7441400632729365]
['<=50K', 'cl_0', 0.7362569866715803, 0.969822006472492]
['cl_0', '<=50K', 0.7362569866715803, 0.7723084852780104]
['Male', 'United-States', 0.5984890362999816, 0.8943552088113814]
['Male', 'White', 0.5888458939868558, 0.8799449288664525]
['Male', 'cl_0', 0.6338676985443155, 0.9472234970169803]
['United-States', 'White', 0.7868374178490265, 0.8783339046966061]
['White', 'United-States', 0.7868374178490265, 0.9210885821110153]
['United-States', 'cl_0', 0.8534795160002456, 0.9527254028111073]
['cl_0', 'United-States', 0.8534795160002456, 0.8952709232652535]
['White', 'cl_0', 0.8129107548676371, 0.9516105838366408]
['cl_0', 'White', 0.8129107548676371, 0.8527156755363701]
['<40h', 'cg_0', 0.6579141330385111, 0.9322454308093995]
['cg_0', '<40h', 0.6579141330385111, 0.7177124861804416]
['<=50K', 'cg_0', 0.7273816104661875, 0.9581310679611651]
['cg_0', '<=50K', 0.7273816104661875, 0.7934939193942846]
['Male', 'cg_0', 0.6050304035378662, 0.9041303350160624]
['United-States', 'cg_0', 0.8199434924144708, 0.9152896811792938]
['cg_0', 'United-States', 0.8199434924144708, 0.894468826426346]
['White', 'cg_0', 0.7802653399668324, 0.9133951682484901]
['cg_0', 'White', 0.7802653399668324, 0.8511842942812154]
['cg_0', 'cl_0', 0.8700325532829679, 0.9491105229655935]
['cl_0', 'cg_0', 0.8700325532829679, 0.9126344952000516]
['<40h', 'Private', 0.49990786806707205, 0.708355091383812]
['Private', '<40h', 0.49990786806707205, 0.7172188931970391]
['<=50K', 'Private', 0.5445918555371292, 0.7173543689320389]
['Private', '<=50K', 0.5445918555371292, 0.7813271060979908]
['Private', 'United-States', 0.6183588231681101, 0.8871607331688404]
['Private', 'White', 0.5959093421779988, 0.8549524145223828]
['Private', 'cg_0', 0.6438179473005343, 0.9236869933027846]
['cg_0', 'Private', 0.6438179473005343, 0.7023350866025663]
['Private', 'cl_0', 0.6668509305325225, 0.9567324638702855]
[('<=50K', 'cg_0'), 'United-States', 0.6470118543087034, 0.8895081275068609]
[('United-States', 'cg_0'), '<=50K', 0.6470118543087034, 0.7890932244653358]
['<=50K', ('United-States', 'cg_0'), 0.6470118543087034, 0.8522653721682848]
['United-States', ('<=50K', 'cg_0'), 0.6470118543087034, 0.7222488858416181]
['cg_0', ('<=50K', 'United-States'), 0.6470118543087034, 0.7058192904284901]
[('<=50K', 'White'), 'cg_0', 0.6081014679687979, 0.9566162616551525]
[('<=50K', 'cg_0'), 'White', 0.6081014679687979, 0.836014355077053]
[('White', 'cg_0'), '<=50K', 0.6081014679687979, 0.7793521470460897]
['<=50K', ('White', 'cg_0'), 0.6081014679687979, 0.8010113268608414]
['White', ('<=50K', 'cg_0'), 0.6081014679687979, 0.711856485475985]
[('<=50K', 'cg_0'), 'cl_0', 0.7044714698114366, 0.9685032721131518]
[('<=50K', 'cl_0'), 'cg_0', 0.7044714698114366, 0.9568282305831317]
[('cg_0', 'cl_0'), '<=50K', 0.7044714698114366, 0.8097070243558065]
['<=50K', ('cg_0', 'cl_0'), 0.7044714698114366, 0.9279530744336569]
['cg_0', ('<=50K', 'cl_0'), 0.7044714698114366, 0.7685014573352541]
['cl_0', ('<=50K', 'cg_0'), 0.7044714698114366, 0.7389665614328974]
[('Male', 'United-States'), 'cg_0', 0.5400773908236595, 0.9024014778325123]
[('Male', 'cg_0'), 'United-States', 0.5400773908236595, 0.8926450433988122]
['Male', ('United-States', 'cg_0'), 0.5400773908236595, 0.8070674621385957]
[('Male', 'White'), 'cg_0', 0.5308641975308642, 0.9015333263794723]
[('Male', 'cg_0'), 'White', 0.5308641975308642, 0.877417389980204]
['Male', ('White', 'cg_0'), 0.5308641975308642, 0.793299678751721]
[('Male', 'cg_0'), 'cl_0', 0.569713162582151, 0.9416273285620019]
[('Male', 'cl_0'), 'cg_0', 0.569713162582151, 0.8987887596899224]
['Male', ('cg_0', 'cl_0'), 0.569713162582151, 0.8513538320330427]
[('United-States', 'White'), 'cg_0', 0.7176770468644432, 0.9121033527184731]
[('United-States', 'cg_0'), 'White', 0.7176770468644432, 0.8752762275740664]
[('White', 'cg_0'), 'United-States', 0.7176770468644432, 0.9197858857795096]
['United-States', ('White', 'cg_0'), 0.7176770468644432, 0.8011312992800823]
['White', ('United-States', 'cg_0'), 0.7176770468644432, 0.8401279838941617]
['cg_0', ('United-States', 'White'), 0.7176770468644432, 0.7829073000770546]
[('United-States', 'cg_0'), 'cl_0', 0.7775935139119219, 0.9483501254728641]
[('United-States', 'cl_0'), 'cg_0', 0.7775935139119219, 0.9110863229102947]
[('cg_0', 'cl_0'), 'United-States', 0.7775935139119219, 0.8937522061418991]
['United-States', ('cg_0', 'cl_0'), 0.7775935139119219, 0.8680150839904011]
['cg_0', ('United-States', 'cl_0'), 0.7775935139119219, 0.8482696237729908]
['cl_0', ('United-States', 'cg_0'), 0.7775935139119219, 0.8156690934862444]
[('White', 'cg_0'), 'cl_0', 0.738928812726491, 0.9470224741213051]
[('White', 'cl_0'), 'cg_0', 0.738928812726491, 0.9089913109180204]
[('cg_0', 'cl_0'), 'White', 0.738928812726491, 0.8493116837274973]
['White', ('cg_0', 'cl_0'), 0.738928812726491, 0.8650057520851309]
['cg_0', ('White', 'cl_0'), 0.738928812726491, 0.8060906563033937]
['cl_0', ('White', 'cg_0'), 0.738928812726491, 0.7751111397461504]
[('<40h', 'Private'), 'cg_0', 0.4695043302008476, 0.9391817176557317]
[('<40h', 'cg_0'), 'Private', 0.4695043302008476, 0.7136255426410867]
[('Private', 'cg_0'), '<40h', 0.4695043302008476, 0.7292501431024614]
[('<40h', 'Private'), 'cl_0', 0.4821878263005958, 0.9645533849367244]
[('<40h', 'cl_0'), 'Private', 0.4821878263005958, 0.7111282213868382]
[('Private', 'cl_0'), '<40h', 0.4821878263005958, 0.7230818826563508]
[('<=50K', 'Private'), 'United-States', 0.4789017873594988, 0.8793774319066148]
[('<=50K', 'United-States'), 'Private', 0.4789017873594988, 0.7088504022910133]
[('Private', 'United-States'), '<=50K', 0.4789017873594988, 0.7744723118947107]
[('<=50K', 'Private'), 'cg_0', 0.5232172470978441, 0.9607511419387582]
[('<=50K', 'cg_0'), 'Private', 0.5232172470978441, 0.71931602279924]
[('Private', 'cg_0'), '<=50K', 0.5232172470978441, 0.8126788780767029]
['Private', ('<=50K', 'cg_0'), 0.5232172470978441, 0.75066090941135]
[('<=50K', 'Private'), 'cl_0', 0.5289908482279958, 0.9713528449782891]
[('<=50K', 'cl_0'), 'Private', 0.5289908482279958, 0.7184866939184116]
[('Private', 'cl_0'), '<=50K', 0.5289908482279958, 0.793267016671272]
['Private', ('<=50K', 'cl_0'), 0.5289908482279958, 0.7589443073669369]
[('Private', 'United-States'), 'White', 0.5444383023155825, 0.8804569158182269]
[('Private', 'White'), 'United-States', 0.5444383023155825, 0.9136260564831994]
['Private', ('United-States', 'White'), 0.5444383023155825, 0.7811068029608742]
[('Private', 'United-States'), 'cg_0', 0.5699281370923162, 0.9216786689843556]
[('Private', 'cg_0'), 'United-States', 0.5699281370923162, 0.885231825987407]
['Private', ('United-States', 'cg_0'), 0.5699281370923162, 0.8176771237222418]
[('Private', 'United-States'), 'cl_0', 0.5907806645783429, 0.9554010429600198]
[('Private', 'cl_0'), 'United-States', 0.5907806645783429, 0.8859261306069817]
['Private', ('United-States', 'cl_0'), 0.5907806645783429, 0.8475942897426859]
[('Private', 'White'), 'cg_0', 0.5486149499416497, 0.9206349206349206]
[('Private', 'cg_0'), 'White', 0.5486149499416497, 0.8521274565922534]
[('White', 'cg_0'), 'Private', 0.5486149499416497, 0.7031133152280867]
['Private', ('White', 'cg_0'), 0.5486149499416497, 0.7870990482904476]
[('Private', 'White'), 'cl_0', 0.5690068177630366, 0.9548546691403834]
[('Private', 'cl_0'), 'White', 0.5690068177630366, 0.8532743851892788]
['Private', ('White', 'cl_0'), 0.5690068177630366, 0.8163553048995418]
[('Private', 'cg_0'), 'cl_0', 0.6136600945887845, 0.9531577943140622]
[('Private', 'cl_0'), 'cg_0', 0.6136600945887845, 0.9202357925762181]
[('cg_0', 'cl_0'), 'Private', 0.6136600945887845, 0.7053300388280974]
['Private', ('cg_0', 'cl_0'), 0.6136600945887845, 0.8804194571730701]
[('<40h', '<=50K', 'United-States'), 'cl_0', 0.5014741109268472, 0.9710972346119536]
[('<40h', '<=50K', 'cl_0'), 'United-States', 0.5014741109268472, 0.8849926833233971]
[('<40h', 'United-States', 'cl_0'), '<=50K', 0.5014741109268472, 0.8331972650270436]
[('<=50K', 'United-States', 'cl_0'), '<40h', 0.5014741109268472, 0.7657209847596718]
[('<40h', '<=50K'), ('United-States', 'cl_0'), 0.5014741109268472, 0.8596472755988418]
[('<40h', 'United-States'), ('<=50K', 'cl_0'), 0.5014741109268472, 0.7998922308219849]
[('<40h', 'cl_0'), ('<=50K', 'United-States'), 0.5014741109268472, 0.7395715385660583]
[('<=50K', 'United-States'), ('<40h', 'cl_0'), 0.5014741109268472, 0.7422610118641756]
['<40h', ('<=50K', 'United-States', 'cl_0'), 0.5014741109268472, 0.7105744125326371]
[('<40h', '<=50K', 'White'), 'cl_0', 0.46327006940605614, 0.970970648815654]
[('<40h', '<=50K', 'cl_0'), 'White', 0.46327006940605614, 0.8175708633678391]
[('<40h', 'White', 'cl_0'), '<=50K', 0.46327006940605614, 0.8249029365122765]
[('<=50K', 'White', 'cl_0'), '<40h', 0.46327006940605614, 0.7520315070541901]
[('<40h', '<=50K'), ('White', 'cl_0'), 0.46327006940605614, 0.7941563569360358]
[('<40h', 'White'), ('<=50K', 'cl_0'), 0.46327006940605614, 0.7916141897565071]
[('<=50K', 'White'), ('<40h', 'cl_0'), 0.46327006940605614, 0.7287791680757525]
[('<40h', 'United-States', 'White'), 'cl_0', 0.5127449173883668, 0.9581635581061693]
[('<40h', 'United-States', 'cl_0'), 'White', 0.5127449173883668, 0.8519236656801714]
[('<40h', 'White', 'cl_0'), 'United-States', 0.5127449173883668, 0.9129983048066933]
[('<40h', 'United-States'), ('White', 'cl_0'), 0.5127449173883668, 0.8178700891545018]
[('<40h', 'White'), ('United-States', 'cl_0'), 0.5127449173883668, 0.8761544920235097]
[('<40h', 'cl_0'), ('United-States', 'White'), 0.5127449173883668, 0.7561936681914941]
['<40h', ('United-States', 'White', 'cl_0'), 0.5127449173883668, 0.726544821583986]
[('<=50K', 'United-States', 'White'), 'cl_0', 0.5624040292365334, 0.9680710472062166]
[('<=50K', 'United-States', 'cl_0'), 'White', 0.5624040292365334, 0.8587573270808909]
[('<=50K', 'White', 'cl_0'), 'United-States', 0.5624040292365334, 0.9129567775063563]
[('United-States', 'White', 'cl_0'), '<=50K', 0.5624040292365334, 0.752104809232412]
[('<=50K', 'United-States'), ('White', 'cl_0'), 0.5624040292365334, 0.832446929405882]
[('<=50K', 'White'), ('United-States', 'cl_0'), 0.5624040292365334, 0.8847287308565631]
[('<=50K', 'cl_0'), ('United-States', 'White'), 0.5624040292365334, 0.7638691916242596]
[('United-States', 'White'), ('<=50K', 'cl_0'), 0.5624040292365334, 0.7147652316459154]
['<=50K', ('United-States', 'White', 'cl_0'), 0.5624040292365334, 0.7408171521035599]
[('Male', 'United-States', 'White'), 'cl_0', 0.5122228364351085, 0.94482524216847]
[('Male', 'United-States', 'cl_0'), 'White', 0.5122228364351085, 0.9041088464874241]
[('Male', 'White', 'cl_0'), 'United-States', 0.5122228364351085, 0.9193583948847978]
[('Male', 'United-States'), ('White', 'cl_0'), 0.5122228364351085, 0.8558600164203612]
[('Male', 'White'), ('United-States', 'cl_0'), 0.5122228364351085, 0.8698758735788046]
[('Male', 'cl_0'), ('United-States', 'White'), 0.5122228364351085, 0.8080910852713178]
['Male', ('United-States', 'White', 'cl_0'), 0.5122228364351085, 0.7654428636989444]
[('<40h', '<=50K', 'United-States'), 'cg_0', 0.49551624593083965, 0.959559916741005]
[('<40h', '<=50K', 'cg_0'), 'United-States', 0.49551624593083965, 0.8844488296880996]
[('<40h', 'United-States', 'cg_0'), '<=50K', 0.49551624593083965, 0.8492552239591558]
[('<=50K', 'United-States', 'cg_0'), '<40h', 0.49551624593083965, 0.7658534269982913]
[('<40h', '<=50K'), ('United-States', 'cg_0'), 0.49551624593083965, 0.8494340615951567]
[('<40h', 'United-States'), ('<=50K', 'cg_0'), 0.49551624593083965, 0.7903889487606545]
[('<40h', 'cg_0'), ('<=50K', 'United-States'), 0.49551624593083965, 0.7531624889137842]
[('<=50K', 'United-States'), ('<40h', 'cg_0'), 0.49551624593083965, 0.7334424292013273]
['<40h', ('<=50K', 'United-States', 'cg_0'), 0.49551624593083965, 0.7021322889469104]
[('<40h', '<=50K', 'cg_0'), 'cl_0', 0.5435476936306124, 0.970180343145316]
[('<40h', '<=50K', 'cl_0'), 'cg_0', 0.5435476936306124, 0.9592434014416563]
[('<40h', 'cg_0', 'cl_0'), '<=50K', 0.5435476936306124, 0.862440307962187]
[('<=50K', 'cg_0', 'cl_0'), '<40h', 0.5435476936306124, 0.7715680718427133]
[('<40h', '<=50K'), ('cg_0', 'cl_0'), 0.5435476936306124, 0.9317715188207423]
[('<40h', 'cg_0'), ('<=50K', 'cl_0'), 0.5435476936306124, 0.8261681370489661]
[('<40h', 'cl_0'), ('<=50K', 'cg_0'), 0.5435476936306124, 0.8016214502468408]
[('<=50K', 'cg_0'), ('<40h', 'cl_0'), 0.5435476936306124, 0.7472662022377032]
[('<=50K', 'cl_0'), ('<40h', 'cg_0'), 0.5435476936306124, 0.738258112955702]
['<40h', ('<=50K', 'cg_0', 'cl_0'), 0.5435476936306124, 0.7701914708442124]
['<=50K', ('<40h', 'cg_0', 'cl_0'), 0.5435476936306124, 0.7159789644012945]
[('<40h', 'United-States', 'White'), 'cg_0', 0.4965296971930471, 0.9278622668579627]
[('<40h', 'United-States', 'cg_0'), 'White', 0.4965296971930471, 0.8509921574819728]
[('<40h', 'White', 'cg_0'), 'United-States', 0.4965296971930471, 0.9127759272850449]
[('<40h', 'United-States'), ('White', 'cg_0'), 0.4965296971930471, 0.7920054864308808]
[('<40h', 'White'), ('United-States', 'cg_0'), 0.4965296971930471, 0.8484466834592779]
[('<40h', 'cg_0'), ('United-States', 'White'), 0.4965296971930471, 0.7547028894179153]
['<40h', ('United-States', 'White', 'cg_0'), 0.4965296971930471, 0.703568320278503]
[('<40h', 'United-States', 'cg_0'), 'cl_0', 0.558411645476322, 0.9570503710721617]
[('<40h', 'United-States', 'cl_0'), 'cg_0', 0.558411645476322, 0.9277987549749974]
[('<40h', 'cg_0', 'cl_0'), 'United-States', 0.558411645476322, 0.8860247539226196]
[('United-States', 'cg_0', 'cl_0'), '<40h', 0.558411645476322, 0.718127962085308]
[('<40h', 'United-States'), ('cg_0', 'cl_0'), 0.558411645476322, 0.8907122562946997]
[('<40h', 'cg_0'), ('United-States', 'cl_0'), 0.558411645476322, 0.8487606777762218]
[('<40h', 'cl_0'), ('United-States', 'cg_0'), 0.558411645476322, 0.8235427329136283]
['<40h', ('United-States', 'cg_0', 'cl_0'), 0.558411645476322, 0.7912532637075718]
[('<40h', 'White', 'cg_0'), 'cl_0', 0.5203611571770775, 0.9565855586292553]
[('<40h', 'White', 'cl_0'), 'cg_0', 0.5203611571770775, 0.9265598512604583]
[('<40h', 'cg_0', 'cl_0'), 'White', 0.5203611571770775, 0.8256505213916773]
[('White', 'cg_0', 'cl_0'), '<40h', 0.5203611571770775, 0.7042101325796932]
[('<40h', 'White'), ('cg_0', 'cl_0'), 0.5203611571770775, 0.889168765743073]
[('<40h', 'cg_0'), ('White', 'cl_0'), 0.5203611571770775, 0.7909256406665733]
[('<40h', 'cl_0'), ('White', 'cg_0'), 0.5203611571770775, 0.7674260609629059]
['<40h', ('White', 'cg_0', 'cl_0'), 0.5203611571770775, 0.7373368146214099]
[('<=50K', 'United-States', 'White'), 'cg_0', 0.5557705300657207, 0.9566527462071153]
[('<=50K', 'United-States', 'cg_0'), 'White', 0.5557705300657207, 0.8589804442756788]
[('<=50K', 'White', 'cg_0'), 'United-States', 0.5557705300657207, 0.9139437402151407]
[('United-States', 'White', 'cg_0'), '<=50K', 0.5557705300657207, 0.7744019855363944]
[('<=50K', 'United-States'), ('White', 'cg_0'), 0.5557705300657207, 0.8226283012864221]
[('<=50K', 'White'), ('United-States', 'cg_0'), 0.5557705300657207, 0.8742934441277357]
[('<=50K', 'cg_0'), ('United-States', 'White'), 0.5557705300657207, 0.7640700865526705]
[('United-States', 'White'), ('<=50K', 'cg_0'), 0.5557705300657207, 0.7063346473595878]
[('White', 'cg_0'), ('<=50K', 'United-States'), 0.5557705300657207, 0.7122840162160035]
['<=50K', ('United-States', 'White', 'cg_0'), 0.5557705300657207, 0.73207928802589]
[('<=50K', 'United-States', 'cg_0'), 'cl_0', 0.6263128800442234, 0.9680083539016517]
[('<=50K', 'United-States', 'cl_0'), 'cg_0', 0.6263128800442234, 0.9563423212192262]
[('<=50K', 'cg_0', 'cl_0'), 'United-States', 0.6263128800442234, 0.8890535768778064]
[('United-States', 'cg_0', 'cl_0'), '<=50K', 0.6263128800442234, 0.8054502369668246]
[('<=50K', 'United-States'), ('cg_0', 'cl_0'), 0.6263128800442234, 0.9270421382790127]
[('<=50K', 'cg_0'), ('United-States', 'cl_0'), 0.6263128800442234, 0.861051298290057]
[('<=50K', 'cl_0'), ('United-States', 'cg_0'), 0.6263128800442234, 0.8506715608575958]
[('United-States', 'cg_0'), ('<=50K', 'cl_0'), 0.6263128800442234, 0.7638488332896363]
[('United-States', 'cl_0'), ('<=50K', 'cg_0'), 0.6263128800442234, 0.7338346946853298]
[('cg_0', 'cl_0'), ('<=50K', 'United-States'), 0.6263128800442234, 0.7198729262266149]
['<=50K', ('United-States', 'cg_0', 'cl_0'), 0.6263128800442234, 0.825]
[('<=50K', 'White', 'cg_0'), 'cl_0', 0.5884466556108348, 0.967678400080804]
[('<=50K', 'White', 'cl_0'), 'cg_0', 0.5884466556108348, 0.9552320654070492]
[('<=50K', 'cg_0', 'cl_0'), 'White', 0.5884466556108348, 0.8353023235537731]
[('White', 'cg_0', 'cl_0'), '<=50K', 0.5884466556108348, 0.7963509413573833]
[('<=50K', 'White'), ('cg_0', 'cl_0'), 0.5884466556108348, 0.9256968935697377]
[('<=50K', 'cg_0'), ('White', 'cl_0'), 0.5884466556108348, 0.8089930335655479]
[('<=50K', 'cl_0'), ('White', 'cg_0'), 0.5884466556108348, 0.7992408442479353]
[('White', 'cg_0'), ('<=50K', 'cl_0'), 0.5884466556108348, 0.7541622387530995]
[('White', 'cl_0'), ('<=50K', 'cg_0'), 0.5884466556108348, 0.7238760861352475]
['<=50K', ('White', 'cg_0', 'cl_0'), 0.5884466556108348, 0.7751213592233009]
[('Male', 'United-States', 'White'), 'cg_0', 0.4877771635648916, 0.899733756302045]
[('Male', 'United-States', 'cg_0'), 'White', 0.4877771635648916, 0.9031616058228136]
[('Male', 'White', 'cg_0'), 'United-States', 0.4877771635648916, 0.9188360522966562]
[('Male', 'United-States'), ('White', 'cg_0'), 0.4877771635648916, 0.8150143678160919]
