=== RESULTS ===

Algorithm:	Apriori
Count:		25507

Finished in 34.79 seconds['35-50y', '<40h', 0.21531232725262575, 0.6273264137437365]
['cl_0', 'Male', 0.6338676985443155, 0.6649056117518202]
['Never-married', 'United-States', 0.2941772618389534, 0.8966582420668352]
['United-States', 'Never-married', 0.2941772618389534, 0.3283853273911553]
['Never-married', 'White', 0.2689331122166943, 0.8197135636057288]
['White', 'Never-married', 0.2689331122166943, 0.3148188093183779]
['Never-married', 'cl_0', 0.3184386708433143, 0.9706075072545165]
['cl_0', 'Never-married', 0.3184386708433143, 0.33403131241543715]
['Not-in-family', 'United-States', 0.23118973036054297, 0.9064419024683925]
['Not-in-family', 'White', 0.21881334070388797, 0.8579169175195666]
['Not-in-family', 'cl_0', 0.24479454578957066, 0.9597832630945213]
['United-States', 'White', 0.7868374178490265, 0.8783339046966061]
['White', 'United-States', 0.7868374178490265, 0.9210885821110153]
['United-States', 'cl_0', 0.8534795160002456, 0.9527254028111073]
['cl_0', 'United-States', 0.8534795160002456, 0.8952709232652535]
['White', 'cl_0', 0.8129107548676371, 0.9516105838366408]
['cl_0', 'White', 0.8129107548676371, 0.8527156755363701]
['35-50y', 'Husband', 0.17799889441680486, 0.5186113099498926]
['Husband', '35-50y', 0.17799889441680486, 0.439323883877814]
['35-50y', 'Married-civ-spouse', 0.20063263927277195, 0.5845561918396565]
['Married-civ-spouse', '35-50y', 0.20063263927277195, 0.4362313034188034]
['35-50y', 'cg_0', 0.30725999631472267, 0.8952219040801718]
['cg_0', '35-50y', 0.30725999631472267, 0.3351871084458441]
['<40h', 'Husband', 0.23779251888704625, 0.33694516971279376]
['Husband', '<40h', 0.23779251888704625, 0.5869021450769347]
['<40h', 'Married-civ-spouse', 0.2825072170014127, 0.4003046127067015]
['Married-civ-spouse', '<40h', 0.2825072170014127, 0.6142494658119658]
['<40h', 'cg_0', 0.6579141330385111, 0.9322454308093995]
['cg_0', '<40h', 0.6579141330385111, 0.7177124861804416]
['Husband', '<=50K', 0.22341993735028562, 0.551428787993633]
['<=50K', 'Married-civ-spouse', 0.2544069774583871, 0.3351132686084142]
['Married-civ-spouse', '<=50K', 0.2544069774583871, 0.5531517094017094]
['<=50K', 'cg_0', 0.7273816104661875, 0.9581310679611651]
['cg_0', '<=50K', 0.7273816104661875, 0.7934939193942846]
['Husband', 'Male', 0.4051348197285179, 0.9999242022284545]
['Male', 'Husband', 0.4051348197285179, 0.6054153281321707]
['Husband', 'Married-civ-spouse', 0.40488913457404335, 0.9993178200560904]
['Married-civ-spouse', 'Husband', 0.40488913457404335, 0.8803418803418803]
['Husband', 'United-States', 0.3642589521528162, 0.8990373683013719]
['United-States', 'Husband', 0.3642589521528162, 0.406616386698663]
['Husband', 'White', 0.36668509305325225, 0.9050253922534678]
['White', 'Husband', 0.36668509305325225, 0.42924935289042276]
['Husband', 'cg_0', 0.35608992076653767, 0.8788751610702645]
['cg_0', 'Husband', 0.35608992076653767, 0.3884552246306409]
['Husband', 'cl_0', 0.37887721884405134, 0.9351171075570378]
['cl_0', 'Husband', 0.37887721884405134, 0.397429289349913]
['Male', 'Married-civ-spouse', 0.40903507155580127, 0.6112436897659477]
['Married-civ-spouse', 'Male', 0.40903507155580127, 0.8893563034188035]
['Male', 'cg_0', 0.6050304035378662, 0.9041303350160624]
['cg_0', 'Male', 0.6050304035378662, 0.6600221112935106]
['Married-civ-spouse', 'United-States', 0.4105398931269578, 0.8926282051282052]
['United-States', 'Married-civ-spouse', 0.4105398931269578, 0.4582790538224203]
['Married-civ-spouse', 'White', 0.41182974018794916, 0.8954326923076923]
['White', 'Married-civ-spouse', 0.41182974018794916, 0.48209663503019845]
['Married-civ-spouse', 'cg_0', 0.4040599471776918, 0.8785389957264957]
['cg_0', 'Married-civ-spouse', 0.4040599471776918, 0.44078528593922744]
['Married-civ-spouse', 'cl_0', 0.43050181192801423, 0.9360309829059829]
['cl_0', 'Married-civ-spouse', 0.43050181192801423, 0.45158172798144447]
['United-States', 'cg_0', 0.8199434924144708, 0.9152896811792938]
['cg_0', 'United-States', 0.8199434924144708, 0.894468826426346]
['White', 'cg_0', 0.7802653399668324, 0.9133951682484901]
['cg_0', 'White', 0.7802653399668324, 0.8511842942812154]
['cg_0', 'cl_0', 0.8700325532829679, 0.9491105229655935]
['cl_0', 'cg_0', 0.8700325532829679, 0.9126344952000516]
['35-50y', 'Private', 0.2310668877833057, 0.6732283464566929]
['Private', '35-50y', 0.2310668877833057, 0.33151216073316886]
['<40h', 'HS-grad', 0.23960444690129598, 0.33951261966927765]
['HS-grad', '<40h', 0.23960444690129598, 0.7429768593467289]
['<40h', 'Private', 0.49990786806707205, 0.708355091383812]
['Private', '<40h', 0.49990786806707205, 0.7172188931970391]
['no-spouse', '<40h', 0.16000245685154474, 0.7548536656041727]
['<=50K', 'HS-grad', 0.2710521466740372, 0.35703883495145633]
['HS-grad', '<=50K', 0.2710521466740372, 0.8404913817731645]
['<=50K', 'Private', 0.5445918555371292, 0.7173543689320389]
['Private', '<=50K', 0.5445918555371292, 0.7813271060979908]
['Services', '<=50K', 0.15441311958724893, 0.9203734211971444]
['no-spouse', '<=50K', 0.19175726306737914, 0.9046653144016227]
['HS-grad', 'Male', 0.21838339168355753, 0.6771736025140462]
['Male', 'HS-grad', 0.21838339168355753, 0.3263423588802203]
['HS-grad', 'Private', 0.238928812726491, 0.7408818207789735]
['Private', 'HS-grad', 0.238928812726491, 0.3427916813535425]
['HS-grad', 'United-States', 0.2979546710889994, 0.9239120083801543]
['United-States', 'HS-grad', 0.2979546710889994, 0.33260198834418925]
['HS-grad', 'White', 0.27344757693016397, 0.8479192457861157]
['White', 'HS-grad', 0.27344757693016397, 0.3201035375323555]
['HS-grad', 'cg_0', 0.3015171058288803, 0.9349585753737739]
['cg_0', 'HS-grad', 0.3015171058288803, 0.32892224195115416]
['HS-grad', 'cl_0', 0.3101160862354892, 0.9616227025997524]
['cl_0', 'HS-grad', 0.3101160862354892, 0.3253012048192771]
['Male', 'Private', 0.4589398685584424, 0.685819183111519]
['Private', 'Male', 0.4589398685584424, 0.6584420162143109]
['Not-in-family', 'Private', 0.18444812972176156, 0.7231788079470198]
['Not-in-family', 'cg_0', 0.23834531048461396, 0.9344972907886815]
['Private', 'United-States', 0.6183588231681101, 0.8871607331688404]
['United-States', 'Private', 0.6183588231681101, 0.6902639698320192]
['Private', 'White', 0.5959093421779988, 0.8549524145223828]
['White', 'Private', 0.5959093421779988, 0.6975841242450388]
['Private', 'cg_0', 0.6438179473005343, 0.9236869933027846]
['cg_0', 'Private', 0.6438179473005343, 0.7023350866025663]
['Private', 'cl_0', 0.6668509305325225, 0.9567324638702855]
['cl_0', 'Private', 0.6668509305325225, 0.69950389794472]
['Services', 'cg_0', 0.1608316442478963, 0.9586307889438038]
['Services', 'cl_0', 0.16371844481297218, 0.9758374519494784]
['no-spouse', 'United-States', 0.19111233953688347, 0.9016227180527383]
['no-spouse', 'White', 0.17348442970333516, 0.8184584178498986]
['no-spouse', 'cg_0', 0.19851360481542904, 0.9365401332946972]
['no-spouse', 'cl_0', 0.2043793378785087, 0.9642132715155027]
['50-65y', 'cl_0', 0.15395245992260917, 0.9454922670690306]
['Husband', 'Private', 0.26325164301947057, 0.6497384976881679]
['Private', 'Husband', 0.26325164301947057, 0.3776876982728234]
['Married-civ-spouse', 'Private', 0.298875990418279, 0.6498397435897436]
['Private', 'Married-civ-spouse', 0.298875990418279, 0.42879802608389145]
['25-35y', '<40h', 0.17416006387814018, 0.6660793986375382]
['25-35y', '<=50K', 0.21260979055340581, 0.8131313131313131]
['25-35y', 'Private', 0.19925066027885266, 0.7620389945971341]
['25-35y', 'cg_0', 0.24439530741354953, 0.9346957951609114]
['25-35y', 'cl_0', 0.2502610404766292, 0.9571294338736199]
['<40h', 'Female', 0.2772864074688287, 0.39290687554395126]
['Female', '<40h', 0.2772864074688287, 0.8382694271655371]
['<=50K', 'Female', 0.2945765002149745, 0.38802588996763754]
['Female', '<=50K', 0.2945765002149745, 0.8905394113824158]
['Female', 'Private', 0.2380689146858301, 0.719710333302386]
['Private', 'Female', 0.2380689146858301, 0.34155798378568913]
['Female', 'cg_0', 0.3116516184509551, 0.9421595023674681]
['cg_0', 'Female', 0.3116516184509551, 0.3399778887064893]
['Female', 'cl_0', 0.31945212210552176, 0.9657413424937332]
['cl_0', 'Female', 0.31945212210552176, 0.3350943882481799]
['Female', 'United-States', 0.2973404582028131, 0.8988951815058954]
['United-States', 'Female', 0.2973404582028131, 0.3319163524168666]
['Female', 'White', 0.2654013881211228, 0.8023396156345743]
['White', 'Female', 0.2654013881211228, 0.3106844981305723]
['41-50h', 'United-States', 0.16783367115042075, 0.9203435500168407]
['41-50h', 'White', 0.1676186966402555, 0.9191647019198383]
['41-50h', 'cg_0', 0.1606473803820404, 0.8809363422027618]
['41-50h', 'cl_0', 0.171242552668755, 0.939036712697878]
['>50K', 'Husband', 0.18174559302254162, 0.7547506695574544]
['Husband', '>50K', 0.18174559302254162, 0.448571212006367]
['>50K', 'Male', 0.20459431238867393, 0.8496365259533223]
['Male', '>50K', 0.20459431238867393, 0.3057365764111978]
['>50K', 'Married-civ-spouse', 0.20551563171795345, 0.8534625685499299]
['Married-civ-spouse', '>50K', 0.20551563171795345, 0.4468482905982906]
['>50K', 'United-States', 0.22022603034211657, 0.9145517153424308]
['>50K', 'White', 0.21856765554941343, 0.9076648386685372]
['>50K', 'cg_0', 0.18930041152263374, 0.7861242188496366]
['>50K', 'cl_0', 0.21706283397825687, 0.9014156357607448]
['25-35y', 'United-States', 0.23008414716540754, 0.8799624148461358]
['25-35y', 'White', 0.21810699588477367, 0.8341555085741132]
['Never-married', 'Private', 0.251397334316074, 0.7662641580080501]
['Private', 'Never-married', 0.251397334316074, 0.3606802960874163]
['Some-college', 'Private', 0.1564400221116639, 0.6986695926484707]
['Some-college', 'United-States', 0.2069897426448007, 0.9244273762172541]
['Some-college', 'cg_0', 0.20938517290092745, 0.9351254971883144]
['Some-college', 'cl_0', 0.21515877403107916, 0.9609107118365108]
['25-35y', 'Male', 0.1775382347521651, 0.678999295278365]
['0-25y', '<40h', 0.1714268165346109, 0.8706909998440181]
['0-25y', '<=50K', 0.193384927215773, 0.9822180627047262]
['0-25y', 'Never-married', 0.16755727535163686, 0.8510372796755576]
['Never-married', '0-25y', 0.16755727535163686, 0.5107179631189741]
['0-25y', 'Private', 0.15653215404459186, 0.7950397753860552]
['0-25y', 'United-States', 0.17781463055094895, 0.9031352363125877]
['0-25y', 'White', 0.16854001596953505, 0.8560287006707222]
['0-25y', 'cg_0', 0.19111233953688347, 0.9706754016534082]
['0-25y', 'cl_0', 0.1924943185308028, 0.9776945874278584]
['Own-child', '<=50K', 0.15358393219089736, 0.9867797947908445]
['Never-married', 'cg_0', 0.3141084699957005, 0.9574089675184874]
['cg_0', 'Never-married', 0.3141084699957005, 0.3426580454956615]
['Some-college', '<=50K', 0.18131564400221117, 0.809765464271019]
['Some-college', '<40h', 0.16559179411584055, 0.7395419009738033]
['Some-college', 'White', 0.1906209692279344, 0.851323549581676]
[('35-50y', '<40h'), '<=50K', 0.1552423069836005, 0.7210098416773641]
[('35-50y', '<=50K'), '<40h', 0.1552423069836005, 0.708181563463155]
['35-50y', ('<40h', '<=50K'), 0.1552423069836005, 0.4523085182534001]
[('35-50y', '<40h'), 'United-States', 0.1906209692279344, 0.8853230637569534]
[('35-50y', 'United-States'), '<40h', 0.1906209692279344, 0.6193374575932947]
[('<40h', 'United-States'), '35-50y', 0.1906209692279344, 0.30405603997256786]
['35-50y', ('<40h', 'United-States'), 0.1906209692279344, 0.555386542591267]
[('35-50y', '<40h'), 'White', 0.17584914931515264, 0.8167165882185138]
[('35-50y', 'White'), '<40h', 0.17584914931515264, 0.6002725652584129]
[('<40h', 'White'), '35-50y', 0.17584914931515264, 0.3004827875734677]
['35-50y', ('<40h', 'White'), 0.17584914931515264, 0.5123478883321403]
[('35-50y', '<40h'), 'cl_0', 0.20487070818745778, 0.9515047782056768]
[('35-50y', 'cl_0'), '<40h', 0.20487070818745778, 0.6341857591025762]
[('<40h', 'cl_0'), '35-50y', 0.20487070818745778, 0.30214230716970875]
['35-50y', ('<40h', 'cl_0'), 0.20487070818745778, 0.5969040801717967]
[('35-50y', '<=50K'), 'United-States', 0.19396842945765003, 0.8848416923507986]
[('35-50y', 'United-States'), '<=50K', 0.19396842945765003, 0.6302135302334864]
['35-50y', ('<=50K', 'United-States'), 0.19396842945765003, 0.5651395848246242]
[('35-50y', '<=50K'), 'White', 0.1808549843375714, 0.825021014289717]
[('35-50y', 'White'), '<=50K', 0.1808549843375714, 0.6173603103050634]
['35-50y', ('<=50K', 'White'), 0.1808549843375714, 0.526932712956335]
[('35-50y', '<=50K'), 'cl_0', 0.21174989251274492, 0.9659568506584477]
[('35-50y', 'cl_0'), '<=50K', 0.21174989251274492, 0.655480558988497]
['35-50y', ('<=50K', 'cl_0'), 0.21174989251274492, 0.6169470293486041]
[('35-50y', 'Male'), 'United-States', 0.21700141268963824, 0.900012737230926]
[('35-50y', 'United-States'), 'Male', 0.21700141268963824, 0.7050488924366394]
[('Male', 'United-States'), '35-50y', 0.21700141268963824, 0.36258210180623973]
['35-50y', ('Male', 'United-States'), 0.21700141268963824, 0.6322476735862562]
['Male', ('35-50y', 'United-States'), 0.21700141268963824, 0.3242771913721891]
[('35-50y', 'Male'), 'White', 0.2143295866347276, 0.8889313463253089]
[('35-50y', 'White'), 'Male', 0.2143295866347276, 0.7316280532550582]
[('Male', 'White'), '35-50y', 0.2143295866347276, 0.3639824762699489]
['35-50y', ('Male', 'White'), 0.2143295866347276, 0.6244631352899069]
['Male', ('35-50y', 'White'), 0.2143295866347276, 0.3202845341899954]
[('35-50y', 'Male'), 'cl_0', 0.22504760149867944, 0.9333842822570373]
[('35-50y', 'cl_0'), 'Male', 0.22504760149867944, 0.6966441676965491]
[('Male', 'cl_0'), '35-50y', 0.22504760149867944, 0.3550387596899225]
['35-50y', ('Male', 'cl_0'), 0.22504760149867944, 0.6556907659269864]
['Male', ('35-50y', 'cl_0'), 0.22504760149867944, 0.3363010555300597]
[('35-50y', 'United-States'), 'White', 0.2706836189423254, 0.8794651766114548]
[('35-50y', 'White'), 'United-States', 0.2706836189423254, 0.9239962260194989]
[('United-States', 'White'), '35-50y', 0.2706836189423254, 0.34401467546153547]
['35-50y', ('United-States', 'White'), 0.2706836189423254, 0.7886542591267001]
['United-States', ('35-50y', 'White'), 0.2706836189423254, 0.30215975317106614]
['White', ('35-50y', 'United-States'), 0.2706836189423254, 0.31686798964624674]
[('35-50y', 'United-States'), 'cl_0', 0.28953995454824644, 0.9407303931351028]
[('35-50y', 'cl_0'), 'United-States', 0.28953995454824644, 0.8962829166270558]
[('United-States', 'cl_0'), '35-50y', 0.28953995454824644, 0.3392465186571192]
['35-50y', ('United-States', 'cl_0'), 0.28953995454824644, 0.8435934144595562]
['United-States', ('35-50y', 'cl_0'), 0.28953995454824644, 0.3232087761398697]
['cl_0', ('35-50y', 'United-States'), 0.28953995454824644, 0.3037175439726822]
[('35-50y', 'White'), 'cl_0', 0.2746760027025367, 0.9376244889401405]
[('35-50y', 'cl_0'), 'White', 0.2746760027025367, 0.85027093830212]
[('White', 'cl_0'), '35-50y', 0.2746760027025367, 0.33789195315451453]
['35-50y', ('White', 'cl_0'), 0.2746760027025367, 0.800286327845383]
['White', ('35-50y', 'cl_0'), 0.2746760027025367, 0.32154155881507046]
[('<40h', '<=50K'), 'Male', 0.33090719243289723, 0.567254540668597]
[('<40h', 'Male'), '<=50K', 0.33090719243289723, 0.7723460683821948]
[('<=50K', 'Male'), '<40h', 0.33090719243289723, 0.7122554204124801]
['<40h', ('<=50K', 'Male'), 0.33090719243289723, 0.46888598781549173]
['<=50K', ('<40h', 'Male'), 0.33090719243289723, 0.43588187702265374]
['Male', ('<40h', '<=50K'), 0.33090719243289723, 0.4944928866452501]
[('<40h', '<=50K'), 'Never-married', 0.2568638290031325, 0.44032640168465387]
[('<40h', 'Never-married'), '<=50K', 0.2568638290031325, 0.975848792439622]
[('<=50K', 'Never-married'), '<40h', 0.2568638290031325, 0.8206436420722135]
['<40h', ('<=50K', 'Never-married'), 0.2568638290031325, 0.3639686684073107]
['<=50K', ('<40h', 'Never-married'), 0.2568638290031325, 0.3383495145631068]
['Never-married', ('<40h', '<=50K'), 0.2568638290031325, 0.7829261443414771]
[('<40h', 'Not-in-family'), '<=50K', 0.16841717339229778, 0.9392019181366672]
[('<=50K', 'Not-in-family'), '<40h', 0.16841717339229778, 0.7362062021747886]
['Not-in-family', ('<40h', '<=50K'), 0.16841717339229778, 0.660325105358218]
[('<40h', '<=50K'), 'United-States', 0.5163994840611756, 0.8852329560410634]
[('<40h', 'United-States'), '<=50K', 0.5163994840611756, 0.8236994219653179]
[('<=50K', 'United-States'), '<40h', 0.5163994840611756, 0.7643529251329606]
['<40h', ('<=50K', 'United-States'), 0.5163994840611756, 0.7317232375979112]
['<=50K', ('<40h', 'United-States'), 0.5163994840611756, 0.6802184466019418]
['United-States', ('<40h', '<=50K'), 0.5163994840611756, 0.576448405896469]
[('<40h', '<=50K'), 'White', 0.4771205699895584, 0.8178994472229534]
[('<40h', 'White'), '<=50K', 0.4771205699895584, 0.815281276238455]
[('<=50K', 'White'), '<40h', 0.4771205699895584, 0.7505676602734431]
['<40h', ('<=50K', 'White'), 0.4771205699895584, 0.6760661444734551]
['<=50K', ('<40h', 'White'), 0.4771205699895584, 0.6284789644012945]
['White', ('<40h', '<=50K'), 0.4771205699895584, 0.5585274662064998]
[('<40h', '<=50K'), 'cl_0', 0.5666420981512192, 0.9713608844432745]
[('<40h', 'cl_0'), '<=50K', 0.5666420981512192, 0.8356809638117668]
[('<=50K', 'cl_0'), '<40h', 0.5666420981512192, 0.7696254275465088]
['<40h', ('<=50K', 'cl_0'), 0.5666420981512192, 0.8029155787641428]
['<=50K', ('<40h', 'cl_0'), 0.5666420981512192, 0.7463996763754045]
['cl_0', ('<40h', '<=50K'), 0.5666420981512192, 0.5943882481798853]
[('<40h', 'Male'), 'United-States', 0.3777102143602973, 0.8815855494229804]
[('<40h', 'United-States'), 'Male', 0.3777102143602973, 0.602478691094347]
[('Male', 'United-States'), '<40h', 0.3777102143602973, 0.6311063218390804]
['<40h', ('Male', 'United-States'), 0.3777102143602973, 0.5352045256744996]
['Male', ('<40h', 'United-States'), 0.3777102143602973, 0.5644332262505737]
['United-States', ('<40h', 'Male'), 0.3777102143602973, 0.4216318135070278]
[('<40h', 'Male'), 'White', 0.36600945887844727, 0.854275679162784]
[('<40h', 'White'), 'Male', 0.36600945887844727, 0.6254198152812762]
[('Male', 'White'), '<40h', 0.36600945887844727, 0.6215708772295817]
['<40h', ('Male', 'White'), 0.36600945887844727, 0.5186248912097476]
['Male', ('<40h', 'White'), 0.36600945887844727, 0.5469481413492427]
['White', ('<40h', 'Male'), 0.36600945887844727, 0.42845844118492954]
[('<40h', 'Male'), 'cl_0', 0.40974141637491557, 0.9563472152533868]
[('<40h', 'cl_0'), 'Male', 0.40974141637491557, 0.6042846143394175]
[('Male', 'cl_0'), '<40h', 0.40974141637491557, 0.6464147286821705]
['<40h', ('Male', 'cl_0'), 0.40974141637491557, 0.58059181897302]
['Male', ('<40h', 'cl_0'), 0.40974141637491557, 0.6122992198256081]
['cl_0', ('<40h', 'Male'), 0.40974141637491557, 0.4298047806198054]
[('<40h', 'Never-married'), 'United-States', 0.23579632700694061, 0.8958114572395286]
[('<40h', 'United-States'), 'Never-married', 0.23579632700694061, 0.37611443127265604]
[('Never-married', 'United-States'), '<40h', 0.23579632700694061, 0.8015450464557887]
['<40h', ('Never-married', 'United-States'), 0.23579632700694061, 0.33411662315056573]
['Never-married', ('<40h', 'United-States'), 0.23579632700694061, 0.7187119722924272]
[('<40h', 'Never-married'), 'White', 0.21196486702291015, 0.805273597013184]
[('<40h', 'White'), 'Never-married', 0.21196486702291015, 0.36219563392107473]
[('Never-married', 'White'), '<40h', 0.21196486702291015, 0.7881694644284573]
['<40h', ('Never-married', 'White'), 0.21196486702291015, 0.3003481288076588]
['Never-married', ('<40h', 'White'), 0.21196486702291015, 0.6460732004118693]
[('<40h', 'Never-married'), 'cl_0', 0.25609606289539955, 0.9729319799323299]
[('<40h', 'cl_0'), 'Never-married', 0.25609606289539955, 0.37768920693872005]
[('Never-married', 'cl_0'), '<40h', 0.25609606289539955, 0.804224129617128]
['<40h', ('Never-married', 'cl_0'), 0.25609606289539955, 0.36288076588337687]
['Never-married', ('<40h', 'cl_0'), 0.25609606289539955, 0.7805859777216138]
[('<40h', 'Not-in-family'), 'United-States', 0.1616608316442479, 0.9015242336016441]
[('Not-in-family', 'United-States'), '<40h', 0.1616608316442479, 0.6992561105207227]
['Not-in-family', ('<40h', 'United-States'), 0.1616608316442479, 0.6338350391330524]
[('<40h', 'Not-in-family'), 'cl_0', 0.17271666359560223, 0.9631786264771365]
[('Not-in-family', 'cl_0'), '<40h', 0.17271666359560223, 0.7055576464684481]
['Not-in-family', ('<40h', 'cl_0'), 0.17271666359560223, 0.6771824202287778]
[('<40h', 'United-States'), 'White', 0.5351329770898593, 0.8535808758695014]
[('<40h', 'White'), 'United-States', 0.5351329770898593, 0.9144101595298069]
[('United-States', 'White'), '<40h', 0.5351329770898593, 0.6801061629132352]
['<40h', ('United-States', 'White'), 0.5351329770898593, 0.7582680591818973]
['United-States', ('<40h', 'White'), 0.5351329770898593, 0.597360301679808]
['White', ('<40h', 'United-States'), 0.5351329770898593, 0.626438021282715]
[('<40h', 'United-States'), 'cl_0', 0.6018672071740065, 0.9600274321544039]
[('<40h', 'cl_0'), 'United-States', 0.6018672071740065, 0.8876307803795461]
[('United-States', 'cl_0'), '<40h', 0.6018672071740065, 0.705192328451657]
['<40h', ('United-States', 'cl_0'), 0.6018672071740065, 0.8528285465622281]
['United-States', ('<40h', 'cl_0'), 0.6018672071740065, 0.6718546451834077]
['cl_0', ('<40h', 'United-States'), 0.6018672071740065, 0.6313381869724889]
[('<40h', 'White'), 'cl_0', 0.5616055524844912, 0.9596452560873215]
[('<40h', 'cl_0'), 'White', 0.5616055524844912, 0.8282530911726075]
[('White', 'cl_0'), '<40h', 0.5616055524844912, 0.6908575746127692]
['<40h', ('White', 'cl_0'), 0.5616055524844912, 0.7957789382071366]
['White', ('<40h', 'cl_0'), 0.5616055524844912, 0.6574273799252229]
['cl_0', ('<40h', 'White'), 0.5616055524844912, 0.5891050834353456]
[('<=50K', 'Male'), 'Never-married', 0.17170321233339475, 0.3695795875198308]
[('<=50K', 'Never-married'), 'Male', 0.17170321233339475, 0.5485675039246468]
[('Male', 'Never-married'), '<=50K', 0.17170321233339475, 0.9450642325895876]
['Never-married', ('<=50K', 'Male'), 0.17170321233339475, 0.5233548628662361]
[('<=50K', 'Male'), 'United-States', 0.4111848166574535, 0.8850475938656795]
[('<=50K', 'United-States'), 'Male', 0.4111848166574535, 0.6086185735715259]
[('Male', 'United-States'), '<=50K', 0.4111848166574535, 0.6870381773399015]
['<=50K', ('Male', 'United-States'), 0.4111848166574535, 0.5416262135922331]
['Male', ('<=50K', 'United-States'), 0.4111848166574535, 0.6144561725562184]
['United-States', ('<=50K', 'Male'), 0.4111848166574535, 0.458998971546109]
[('<=50K', 'Male'), 'White', 0.4018487807874209, 0.8649524061343205]
[('<=50K', 'White'), 'Male', 0.4018487807874209, 0.6321561428088314]
[('Male', 'White'), '<=50K', 0.4018487807874209, 0.6824345467821008]
['<=50K', ('Male', 'White'), 0.4018487807874209, 0.5293284789644013]
['Male', ('<=50K', 'White'), 0.4018487807874209, 0.6005048187241854]
['White', ('<=50K', 'Male'), 0.4018487807874209, 0.4704127121081392]
[('<=50K', 'Male'), 'cl_0', 0.449910939131503, 0.9684029613960867]
[('<=50K', 'cl_0'), 'Male', 0.449910939131503, 0.6110786685576041]
[('Male', 'cl_0'), '<=50K', 0.449910939131503, 0.7097868217054264]
['<=50K', ('Male', 'cl_0'), 0.449910939131503, 0.5926375404530745]
['Male', ('<=50K', 'cl_0'), 0.449910939131503, 0.6723267553923818]
['cl_0', ('<=50K', 'Male'), 0.449910939131503, 0.4719412408994266]
[('<=50K', 'Never-married'), 'United-States', 0.2804188931883791, 0.8958987441130298]
[('<=50K', 'United-States'), 'Never-married', 0.2804188931883791, 0.4150643211055048]
[('Never-married', 'United-States'), '<=50K', 0.2804188931883791, 0.9532310262031527]
['<=50K', ('Never-married', 'United-States'), 0.2804188931883791, 0.3693770226537217]
['Never-married', ('<=50K', 'United-States'), 0.2804188931883791, 0.8547224562388842]
['United-States', ('<=50K', 'Never-married'), 0.2804188931883791, 0.31302708261912926]
[('<=50K', 'Never-married'), 'White', 0.25575824580799705, 0.8171114599686028]
[('<=50K', 'White'), 'Never-married', 0.25575824580799705, 0.4023382772114595]
[('Never-married', 'White'), '<=50K', 0.25575824580799705, 0.9510106200753683]
