=== RESULTS ===

Algorithm:	Apriori
Count:		486

Finished in 2.05 seconds['<40h', '<=50K', 0.583348688655488, 0.8265883376849434]
['<=50K', '<40h', 0.583348688655488, 0.768406148867314]
['<40h', 'United-States', 0.6269270929304097, 0.888337684943429]
['United-States', '<40h', 0.6269270929304097, 0.6998285910181693]
['<40h', 'White', 0.5852220379583564, 0.829242819843342]
['White', '<40h', 0.5852220379583564, 0.6850733390854185]
['<40h', 'cl_0', 0.6780603157054235, 0.9607919930374238]
['cl_0', '<40h', 0.6780603157054235, 0.7112621609432382]
['<=50K', 'United-States', 0.6756034641606781, 0.8899271844660194]
['United-States', '<=50K', 0.6756034641606781, 0.7541652382584847]
['<=50K', 'White', 0.6356796265585652, 0.8373381877022654]
['White', '<=50K', 0.6356796265585652, 0.7441400632729365]
['<=50K', 'cl_0', 0.7362569866715803, 0.969822006472492]
['cl_0', '<=50K', 0.7362569866715803, 0.7723084852780104]
['Male', 'United-States', 0.5984890362999816, 0.8943552088113814]
['United-States', 'Male', 0.5984890362999816, 0.6680836475831333]
['Male', 'White', 0.5888458939868558, 0.8799449288664525]
['White', 'Male', 0.5888458939868558, 0.6893155018694277]
['Male', 'cl_0', 0.6338676985443155, 0.9472234970169803]
['cl_0', 'Male', 0.6338676985443155, 0.6649056117518202]
['United-States', 'White', 0.7868374178490265, 0.8783339046966061]
['White', 'United-States', 0.7868374178490265, 0.9210885821110153]
['United-States', 'cl_0', 0.8534795160002456, 0.9527254028111073]
['cl_0', 'United-States', 0.8534795160002456, 0.8952709232652535]
['White', 'cl_0', 0.8129107548676371, 0.9516105838366408]
['cl_0', 'White', 0.8129107548676371, 0.8527156755363701]
['<40h', 'cg_0', 0.6579141330385111, 0.9322454308093995]
['cg_0', '<40h', 0.6579141330385111, 0.7177124861804416]
['<=50K', 'cg_0', 0.7273816104661875, 0.9581310679611651]
['cg_0', '<=50K', 0.7273816104661875, 0.7934939193942846]
['Male', 'cg_0', 0.6050304035378662, 0.9041303350160624]
['cg_0', 'Male', 0.6050304035378662, 0.6600221112935106]
['United-States', 'cg_0', 0.8199434924144708, 0.9152896811792938]
['cg_0', 'United-States', 0.8199434924144708, 0.894468826426346]
['White', 'cg_0', 0.7802653399668324, 0.9133951682484901]
['cg_0', 'White', 0.7802653399668324, 0.8511842942812154]
['cg_0', 'cl_0', 0.8700325532829679, 0.9491105229655935]
['cl_0', 'cg_0', 0.8700325532829679, 0.9126344952000516]
['<=50K', 'Private', 0.5445918555371292, 0.7173543689320389]
['Private', '<=50K', 0.5445918555371292, 0.7813271060979908]
['Private', 'United-States', 0.6183588231681101, 0.8871607331688404]
['United-States', 'Private', 0.6183588231681101, 0.6902639698320192]
['Private', 'White', 0.5959093421779988, 0.8549524145223828]
['White', 'Private', 0.5959093421779988, 0.6975841242450388]
['Private', 'cg_0', 0.6438179473005343, 0.9236869933027846]
['cg_0', 'Private', 0.6438179473005343, 0.7023350866025663]
['Private', 'cl_0', 0.6668509305325225, 0.9567324638702855]
['cl_0', 'Private', 0.6668509305325225, 0.69950389794472]
['White', ('Male', 'cl_0'), 0.5571525090596401, 0.6522145527753811]
['cl_0', ('Male', 'White'), 0.5571525090596401, 0.5844339926551124]
[('United-States', 'White'), 'cl_0', 0.7477734782875745, 0.950353225869404]
[('United-States', 'cl_0'), 'White', 0.7477734782875745, 0.8761469540498723]
[('White', 'cl_0'), 'United-States', 0.7477734782875745, 0.9198715527011712]
['United-States', ('White', 'cl_0'), 0.7477734782875745, 0.8347274597188893]
['White', ('United-States', 'cl_0'), 0.7477734782875745, 0.8753595053206787]
['cl_0', ('United-States', 'White'), 0.7477734782875745, 0.7843888924682688]
[('<40h', '<=50K'), 'cg_0', 0.5602542841348811, 0.9604106343774678]
[('<40h', 'cg_0'), '<=50K', 0.5602542841348811, 0.8515614059655511]
[('<=50K', 'cg_0'), '<40h', 0.5602542841348811, 0.7702343255224826]
['<40h', ('<=50K', 'cg_0'), 0.5602542841348811, 0.793864229765013]
['<=50K', ('<40h', 'cg_0'), 0.5602542841348811, 0.7379854368932038]
['cg_0', ('<40h', '<=50K'), 0.5602542841348811, 0.611176253810848]
[('<40h', 'United-States'), 'cg_0', 0.5834715312327252, 0.9306848241402959]
[('<40h', 'cg_0'), 'United-States', 0.5834715312327252, 0.8868505811510993]
[('United-States', 'cg_0'), '<40h', 0.5834715312327252, 0.711599685381475]
['<40h', ('United-States', 'cg_0'), 0.5834715312327252, 0.8267624020887728]
['United-States', ('<40h', 'cg_0'), 0.5834715312327252, 0.651319849160096]
['cg_0', ('<40h', 'United-States'), 0.5834715312327252, 0.6365037354685249]
[('<40h', 'White'), 'cg_0', 0.5439776426509428, 0.9295235096557515]
[('<40h', 'cg_0'), 'White', 0.5439776426509428, 0.8268216402931429]
[('White', 'cg_0'), '<40h', 0.5439776426509428, 0.6971700712402094]
['<40h', ('White', 'cg_0'), 0.5439776426509428, 0.7708006962576153]
['White', ('<40h', 'cg_0'), 0.5439776426509428, 0.6367917745182629]
['cg_0', ('<40h', 'White'), 0.5439776426509428, 0.5934202150825824]
[('<40h', 'cg_0'), 'cl_0', 0.630243842515816, 0.9579423983569061]
[('<40h', 'cl_0'), 'cg_0', 0.630243842515816, 0.9294805018343222]
[('cg_0', 'cl_0'), '<40h', 0.630243842515816, 0.724391104835863]
['<40h', ('cg_0', 'cl_0'), 0.630243842515816, 0.8930374238468233]
['cg_0', ('<40h', 'cl_0'), 0.630243842515816, 0.68752722034239]
['cl_0', ('<40h', 'cg_0'), 0.630243842515816, 0.6611043102892855]
[('<=50K', 'United-States'), 'cg_0', 0.6470118543087034, 0.9576798945406609]
[('<=50K', 'cg_0'), 'United-States', 0.6470118543087034, 0.8895081275068609]
[('United-States', 'cg_0'), '<=50K', 0.6470118543087034, 0.7890932244653358]
['<=50K', ('United-States', 'cg_0'), 0.6470118543087034, 0.8522653721682848]
['United-States', ('<=50K', 'cg_0'), 0.6470118543087034, 0.7222488858416181]
['cg_0', ('<=50K', 'United-States'), 0.6470118543087034, 0.7058192904284901]
[('<=50K', 'White'), 'cg_0', 0.6081014679687979, 0.9566162616551525]
[('<=50K', 'cg_0'), 'White', 0.6081014679687979, 0.836014355077053]
[('White', 'cg_0'), '<=50K', 0.6081014679687979, 0.7793521470460897]
['<=50K', ('White', 'cg_0'), 0.6081014679687979, 0.8010113268608414]
['White', ('<=50K', 'cg_0'), 0.6081014679687979, 0.711856485475985]
['cg_0', ('<=50K', 'White'), 0.6081014679687979, 0.6633723072799759]
[('<=50K', 'cg_0'), 'cl_0', 0.7044714698114366, 0.9685032721131518]
[('<=50K', 'cl_0'), 'cg_0', 0.7044714698114366, 0.9568282305831317]
[('cg_0', 'cl_0'), '<=50K', 0.7044714698114366, 0.8097070243558065]
['<=50K', ('cg_0', 'cl_0'), 0.7044714698114366, 0.9279530744336569]
['cg_0', ('<=50K', 'cl_0'), 0.7044714698114366, 0.7685014573352541]
['cl_0', ('<=50K', 'cg_0'), 0.7044714698114366, 0.7389665614328974]
[('Male', 'United-States'), 'cg_0', 0.5400773908236595, 0.9024014778325123]
[('Male', 'cg_0'), 'United-States', 0.5400773908236595, 0.8926450433988122]
[('United-States', 'cg_0'), 'Male', 0.5400773908236595, 0.6586763549196599]
['Male', ('United-States', 'cg_0'), 0.5400773908236595, 0.8070674621385957]
['United-States', ('Male', 'cg_0'), 0.5400773908236595, 0.6028796708947549]
['cg_0', ('Male', 'United-States'), 0.5400773908236595, 0.5891654661797715]
[('Male', 'White'), 'cg_0', 0.5308641975308642, 0.9015333263794723]
[('Male', 'cg_0'), 'White', 0.5308641975308642, 0.877417389980204]
[('White', 'cg_0'), 'Male', 0.5308641975308642, 0.6803636793009801]
['Male', ('White', 'cg_0'), 0.5308641975308642, 0.793299678751721]
['White', ('Male', 'cg_0'), 0.5308641975308642, 0.6214408973252804]
['cg_0', ('Male', 'White'), 0.5308641975308642, 0.5791148782203759]
[('Male', 'cg_0'), 'cl_0', 0.569713162582151, 0.9416273285620019]
[('Male', 'cl_0'), 'cg_0', 0.569713162582151, 0.8987887596899224]
[('cg_0', 'cl_0'), 'Male', 0.569713162582151, 0.6548182139075185]
['Male', ('cg_0', 'cl_0'), 0.569713162582151, 0.8513538320330427]
['cg_0', ('Male', 'cl_0'), 0.569713162582151, 0.6214948574491608]
['cl_0', ('Male', 'cg_0'), 0.569713162582151, 0.5976096900972876]
[('United-States', 'White'), 'cg_0', 0.7176770468644432, 0.9121033527184731]
[('United-States', 'cg_0'), 'White', 0.7176770468644432, 0.8752762275740664]
[('White', 'cg_0'), 'United-States', 0.7176770468644432, 0.9197858857795096]
['United-States', ('White', 'cg_0'), 0.7176770468644432, 0.8011312992800823]
['White', ('United-States', 'cg_0'), 0.7176770468644432, 0.8401279838941617]
['cg_0', ('United-States', 'White'), 0.7176770468644432, 0.7829073000770546]
[('United-States', 'cg_0'), 'cl_0', 0.7775935139119219, 0.9483501254728641]
[('United-States', 'cl_0'), 'cg_0', 0.7775935139119219, 0.9110863229102947]
[('cg_0', 'cl_0'), 'United-States', 0.7775935139119219, 0.8937522061418991]
['United-States', ('cg_0', 'cl_0'), 0.7775935139119219, 0.8680150839904011]
['cg_0', ('United-States', 'cl_0'), 0.7775935139119219, 0.8482696237729908]
['cl_0', ('United-States', 'cg_0'), 0.7775935139119219, 0.8156690934862444]
[('White', 'cg_0'), 'cl_0', 0.738928812726491, 0.9470224741213051]
[('White', 'cl_0'), 'cg_0', 0.738928812726491, 0.9089913109180204]
[('cg_0', 'cl_0'), 'White', 0.738928812726491, 0.8493116837274973]
['White', ('cg_0', 'cl_0'), 0.738928812726491, 0.8650057520851309]
['cg_0', ('White', 'cl_0'), 0.738928812726491, 0.8060906563033937]
['cl_0', ('White', 'cg_0'), 0.738928812726491, 0.7751111397461504]
[('<=50K', 'Private'), 'cg_0', 0.5232172470978441, 0.9607511419387582]
[('<=50K', 'cg_0'), 'Private', 0.5232172470978441, 0.71931602279924]
[('Private', 'cg_0'), '<=50K', 0.5232172470978441, 0.8126788780767029]
['<=50K', ('Private', 'cg_0'), 0.5232172470978441, 0.6891990291262136]
['Private', ('<=50K', 'cg_0'), 0.5232172470978441, 0.75066090941135]
['cg_0', ('<=50K', 'Private'), 0.5232172470978441, 0.5707728902140775]
[('<=50K', 'Private'), 'cl_0', 0.5289908482279958, 0.9713528449782891]
[('<=50K', 'cl_0'), 'Private', 0.5289908482279958, 0.7184866939184116]
[('Private', 'cl_0'), '<=50K', 0.5289908482279958, 0.793267016671272]
['<=50K', ('Private', 'cl_0'), 0.5289908482279958, 0.6968042071197411]
['Private', ('<=50K', 'cl_0'), 0.5289908482279958, 0.7589443073669369]
['cl_0', ('<=50K', 'Private'), 0.5289908482279958, 0.5548933702725339]
[('Private', 'United-States'), 'White', 0.5444383023155825, 0.8804569158182269]
[('Private', 'White'), 'United-States', 0.5444383023155825, 0.9136260564831994]
[('United-States', 'White'), 'Private', 0.5444383023155825, 0.6919323992037781]
['Private', ('United-States', 'White'), 0.5444383023155825, 0.7811068029608742]
['United-States', ('Private', 'White'), 0.5444383023155825, 0.6077476859787453]
['White', ('Private', 'United-States'), 0.5444383023155825, 0.637331032499281]
[('Private', 'United-States'), 'cg_0', 0.5699281370923162, 0.9216786689843556]
[('Private', 'cg_0'), 'United-States', 0.5699281370923162, 0.885231825987407]
[('United-States', 'cg_0'), 'Private', 0.5699281370923162, 0.6950822128169595]
['Private', ('United-States', 'cg_0'), 0.5699281370923162, 0.8176771237222418]
['United-States', ('Private', 'cg_0'), 0.5699281370923162, 0.6362015769626328]
['cg_0', ('Private', 'United-States'), 0.5699281370923162, 0.6217293711682134]
[('Private', 'United-States'), 'cl_0', 0.5907806645783429, 0.9554010429600198]
[('Private', 'cl_0'), 'United-States', 0.5907806645783429, 0.8859261306069817]
[('United-States', 'cl_0'), 'Private', 0.5907806645783429, 0.6922025116044763]
['Private', ('United-States', 'cl_0'), 0.5907806645783429, 0.8475942897426859]
['United-States', ('Private', 'cl_0'), 0.5907806645783429, 0.6594789166952348]
['cl_0', ('Private', 'United-States'), 0.5907806645783429, 0.6197087816506668]
[('Private', 'White'), 'cg_0', 0.5486149499416497, 0.9206349206349206]
[('Private', 'cg_0'), 'White', 0.5486149499416497, 0.8521274565922534]
[('White', 'cg_0'), 'Private', 0.5486149499416497, 0.7031133152280867]
['Private', ('White', 'cg_0'), 0.5486149499416497, 0.7870990482904476]
['White', ('Private', 'cg_0'), 0.5486149499416497, 0.642220304860512]
['cg_0', ('Private', 'White'), 0.5486149499416497, 0.5984790110221448]
[('Private', 'White'), 'cl_0', 0.5690068177630366, 0.9548546691403834]
[('Private', 'cl_0'), 'White', 0.5690068177630366, 0.8532743851892788]
[('White', 'cl_0'), 'Private', 0.5690068177630366, 0.6999622213826974]
['Private', ('White', 'cl_0'), 0.5690068177630366, 0.8163553048995418]
['White', ('Private', 'cl_0'), 0.5690068177630366, 0.6660914581535806]
['cl_0', ('Private', 'White'), 0.5690068177630366, 0.5968687584562851]
[('Private', 'cg_0'), 'cl_0', 0.6136600945887845, 0.9531577943140622]
[('Private', 'cl_0'), 'cg_0', 0.6136600945887845, 0.9202357925762181]
[('cg_0', 'cl_0'), 'Private', 0.6136600945887845, 0.7053300388280974]
['Private', ('cg_0', 'cl_0'), 0.6136600945887845, 0.8804194571730701]
['cg_0', ('Private', 'cl_0'), 0.6136600945887845, 0.669436162015478]
['cl_0', ('Private', 'cg_0'), 0.6136600945887845, 0.6437085239353134]
[('<40h', 'United-States', 'White'), 'cl_0', 0.5127449173883668, 0.9581635581061693]
[('<40h', 'United-States', 'cl_0'), 'White', 0.5127449173883668, 0.8519236656801714]
[('<40h', 'White', 'cl_0'), 'United-States', 0.5127449173883668, 0.9129983048066933]
[('United-States', 'White', 'cl_0'), '<40h', 0.5127449173883668, 0.6856955111092858]
[('<40h', 'United-States'), ('White', 'cl_0'), 0.5127449173883668, 0.8178700891545018]
[('<40h', 'White'), ('United-States', 'cl_0'), 0.5127449173883668, 0.8761544920235097]
[('<40h', 'cl_0'), ('United-States', 'White'), 0.5127449173883668, 0.7561936681914941]
[('United-States', 'White'), ('<40h', 'cl_0'), 0.5127449173883668, 0.6516529409468795]
[('United-States', 'cl_0'), ('<40h', 'White'), 0.5127449173883668, 0.6007700334640711]
[('White', 'cl_0'), ('<40h', 'United-States'), 0.5127449173883668, 0.6307517944843218]
['<40h', ('United-States', 'White', 'cl_0'), 0.5127449173883668, 0.726544821583986]
['United-States', ('<40h', 'White', 'cl_0'), 0.5127449173883668, 0.5723688721288995]
['White', ('<40h', 'United-States', 'cl_0'), 0.5127449173883668, 0.6002300834052344]
['cl_0', ('<40h', 'United-States', 'White'), 0.5127449173883668, 0.5378519425294762]
[('<=50K', 'United-States', 'White'), 'cl_0', 0.5624040292365334, 0.9680710472062166]
[('<=50K', 'United-States', 'cl_0'), 'White', 0.5624040292365334, 0.8587573270808909]
[('<=50K', 'White', 'cl_0'), 'United-States', 0.5624040292365334, 0.9129567775063563]
[('United-States', 'White', 'cl_0'), '<=50K', 0.5624040292365334, 0.752104809232412]
[('<=50K', 'United-States'), ('White', 'cl_0'), 0.5624040292365334, 0.832446929405882]
[('<=50K', 'White'), ('United-States', 'cl_0'), 0.5624040292365334, 0.8847287308565631]
[('<=50K', 'cl_0'), ('United-States', 'White'), 0.5624040292365334, 0.7638691916242596]
[('United-States', 'White'), ('<=50K', 'cl_0'), 0.5624040292365334, 0.7147652316459154]
[('United-States', 'cl_0'), ('<=50K', 'White'), 0.5624040292365334, 0.658954337735238]
[('White', 'cl_0'), ('<=50K', 'United-States'), 0.5624040292365334, 0.691839818662637]
['<=50K', ('United-States', 'White', 'cl_0'), 0.5624040292365334, 0.7408171521035599]
['United-States', ('<=50K', 'White', 'cl_0'), 0.5624040292365334, 0.6278025368529311]
['White', ('<=50K', 'United-States', 'cl_0'), 0.5624040292365334, 0.6583620937589877]
['cl_0', ('<=50K', 'United-States', 'White'), 0.5624040292365334, 0.5899426583338703]
[('Male', 'United-States', 'White'), 'cl_0', 0.5122228364351085, 0.94482524216847]
[('Male', 'United-States', 'cl_0'), 'White', 0.5122228364351085, 0.9041088464874241]
[('Male', 'White', 'cl_0'), 'United-States', 0.5122228364351085, 0.9193583948847978]
[('United-States', 'White', 'cl_0'), 'Male', 0.5122228364351085, 0.6849973304858515]
[('Male', 'United-States'), ('White', 'cl_0'), 0.5122228364351085, 0.8558600164203612]
[('Male', 'White'), ('United-States', 'cl_0'), 0.5122228364351085, 0.8698758735788046]
[('Male', 'cl_0'), ('United-States', 'White'), 0.5122228364351085, 0.8080910852713178]
[('United-States', 'White'), ('Male', 'cl_0'), 0.5122228364351085, 0.6509894227391593]
[('United-States', 'cl_0'), ('Male', 'White'), 0.5122228364351085, 0.6001583246374725]
[('White', 'cl_0'), ('Male', 'United-States'), 0.5122228364351085, 0.6301095579901775]
['Male', ('United-States', 'White', 'cl_0'), 0.5122228364351085, 0.7654428636989444]
['United-States', ('Male', 'White', 'cl_0'), 0.5122228364351085, 0.5717860815906753]
['White', ('Male', 'United-States', 'cl_0'), 0.5122228364351085, 0.5996189243600806]
['cl_0', ('Male', 'United-States', 'White'), 0.5122228364351085, 0.5373042974035178]
[('<40h', '<=50K', 'cg_0'), 'cl_0', 0.5435476936306124, 0.970180343145316]
[('<40h', '<=50K', 'cl_0'), 'cg_0', 0.5435476936306124, 0.9592434014416563]
[('<40h', 'cg_0', 'cl_0'), '<=50K', 0.5435476936306124, 0.862440307962187]
[('<=50K', 'cg_0', 'cl_0'), '<40h', 0.5435476936306124, 0.7715680718427133]
[('<40h', '<=50K'), ('cg_0', 'cl_0'), 0.5435476936306124, 0.9317715188207423]
[('<40h', 'cg_0'), ('<=50K', 'cl_0'), 0.5435476936306124, 0.8261681370489661]
[('<40h', 'cl_0'), ('<=50K', 'cg_0'), 0.5435476936306124, 0.8016214502468408]
[('<=50K', 'cg_0'), ('<40h', 'cl_0'), 0.5435476936306124, 0.7472662022377032]
[('<=50K', 'cl_0'), ('<40h', 'cg_0'), 0.5435476936306124, 0.738258112955702]
[('cg_0', 'cl_0'), ('<40h', '<=50K'), 0.5435476936306124, 0.6247440875397106]
['<40h', ('<=50K', 'cg_0', 'cl_0'), 0.5435476936306124, 0.7701914708442124]
['<=50K', ('<40h', 'cg_0', 'cl_0'), 0.5435476936306124, 0.7159789644012945]
['cg_0', ('<40h', '<=50K', 'cl_0'), 0.5435476936306124, 0.5929511876444772]
['cl_0', ('<40h', '<=50K', 'cg_0'), 0.5435476936306124, 0.5701630049610206]
[('<40h', 'United-States', 'cg_0'), 'cl_0', 0.558411645476322, 0.9570503710721617]
[('<40h', 'United-States', 'cl_0'), 'cg_0', 0.558411645476322, 0.9277987549749974]
[('<40h', 'cg_0', 'cl_0'), 'United-States', 0.558411645476322, 0.8860247539226196]
[('United-States', 'cg_0', 'cl_0'), '<40h', 0.558411645476322, 0.718127962085308]
[('<40h', 'United-States'), ('cg_0', 'cl_0'), 0.558411645476322, 0.8907122562946997]
[('<40h', 'cg_0'), ('United-States', 'cl_0'), 0.558411645476322, 0.8487606777762218]
[('<40h', 'cl_0'), ('United-States', 'cg_0'), 0.558411645476322, 0.8235427329136283]
[('United-States', 'cg_0'), ('<40h', 'cl_0'), 0.558411645476322, 0.6810367429491742]
[('United-States', 'cl_0'), ('<40h', 'cg_0'), 0.558411645476322, 0.6542765643553669]
[('cg_0', 'cl_0'), ('<40h', 'United-States'), 0.558411645476322, 0.6418284504059301]
['<40h', ('United-States', 'cg_0', 'cl_0'), 0.558411645476322, 0.7912532637075718]
['United-States', ('<40h', 'cg_0', 'cl_0'), 0.558411645476322, 0.6233459033253342]
